userId,itemId,rating,timestamp,user_mean_rating,user_median_rating,user_std_rating,user_min_rating,user_max_rating,user_num_ratings,item_mean_rating,item_median_rating,item_std_rating,item_min_rating,item_max_rating,item_num_ratings,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6
13,776,2.0,1230793200.0,4.214285714285714,5.0,1.141457835258481,1.0,5.0,84,2.5,2.5,0.7071067811865476,2.0,3.0,2,0,0,0,0,1,0
44,1464,4.0,1230793200.0,3.6666666666666665,4.0,0.5773502691896257,3.0,4.0,3,4.0,4.0,,4.0,4.0,1,0,0,0,0,0,1
400,6176,4.0,1230793200.0,3.75,4.5,1.8929694486000912,1.0,5.0,4,4.0,4.0,,4.0,4.0,1,0,0,0,0,1,0
521,1658,1.0,1230793200.0,4.0,5.0,1.7320508075688774,1.0,5.0,5,4.0,5.0,1.7320508075688772,1.0,5.0,5,0,0,1,0,0,0
1109,3206,4.0,1230793200.0,2.857142857142857,3.0,0.7928249671720917,1.0,4.0,21,4.0,4.0,,4.0,4.0,1,0,0,0,0,0,1
13,775,4.0,1230879600.0,4.214285714285714,5.0,1.141457835258481,1.0,5.0,84,4.0,4.0,,4.0,4.0,1,0,0,0,0,1,0
44,1462,4.0,1230879600.0,3.6666666666666665,4.0,0.5773502691896257,3.0,4.0,3,4.0,4.0,0.0,4.0,4.0,2,0,0,0,0,0,1
44,1463,3.0,1230879600.0,3.6666666666666665,4.0,0.5773502691896257,3.0,4.0,3,3.0,3.0,,3.0,3.0,1,0,0,0,0,0,1
871,8172,4.0,1230879600.0,4.0,4.0,,4.0,4.0,1,4.0,4.0,,4.0,4.0,1,0,0,0,1,0,0
13,774,5.0,1230966000.0,4.214285714285714,5.0,1.141457835258481,1.0,5.0,84,5.0,5.0,0.0,5.0,5.0,2,0,0,1,0,0,0
46,1482,5.0,1230966000.0,4.5,4.5,0.5773502691896258,4.0,5.0,4,5.0,5.0,,5.0,5.0,1,0,1,0,0,0,0
116,28,5.0,1230966000.0,4.555555555555555,5.0,0.5270462766947298,4.0,5.0,9,4.166666666666667,5.0,1.602081978759722,1.0,5.0,6,0,0,1,0,0,0
521,8593,5.0,1230966000.0,4.0,5.0,1.7320508075688774,1.0,5.0,5,4.0,4.0,1.4142135623730951,3.0,5.0,2,0,0,0,0,0,1
280,479,5.0,1231052400.0,3.7714285714285714,4.0,1.1902969052673686,1.0,5.0,35,5.0,5.0,0.0,5.0,5.0,2,0,0,0,1,0,0
19,917,4.0,1231138800.0,4.0,4.0,,4.0,4.0,1,4.0,4.0,,4.0,4.0,1,0,0,0,0,1,0
