userId,itemId,rating,timestamp,user_mean_rating,user_median_rating,user_std_rating,user_min_rating,user_max_rating,user_num_ratings,item_mean_rating,item_median_rating,item_std_rating,item_min_rating,item_max_rating,item_num_ratings,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_11,cat_12,cat_13,cat_15,cat_16,cat_17,cat_18,cat_19,cat_20,cat_21,cat_22,cat_23,cat_25
174,5492,4.0,1230793200.0,4.142857142857143,4.0,1.0690449676496976,2.0,5.0,7,4.4,4.0,0.5477225575051661,4.0,5.0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
734,5078,4.0,1230793200.0,3.4,3.0,1.2649110640673518,2.0,5.0,10,4.0,4.0,,4.0,4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
944,24148,4.0,1230793200.0,4.0,4.0,,4.0,4.0,1,4.0,4.0,,4.0,4.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1367,33613,5.0,1230793200.0,5.0,5.0,,5.0,5.0,1,5.0,5.0,0.0,5.0,5.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1574,38683,3.0,1230793200.0,3.857142857142857,4.0,0.9102589898327995,2.0,5.0,21,3.0,3.0,,3.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711,40905,5.0,1230793200.0,3.8461538461538463,5.0,1.5730095277394138,1.0,5.0,13,5.0,5.0,0.0,5.0,5.0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1769,19231,4.0,1230793200.0,3.0,3.0,1.4142135623730951,2.0,4.0,2,4.0,4.0,,4.0,4.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1884,44794,4.0,1230793200.0,3.823529411764706,4.0,0.7276068751089988,3.0,5.0,17,4.0,4.0,,4.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,47052,3.0,1230793200.0,3.9523809523809526,4.0,0.9206622874969125,2.0,5.0,21,3.0,3.0,,3.0,3.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,51476,5.0,1230793200.0,4.166666666666667,4.0,0.7859052479933757,2.0,5.0,18,5.0,5.0,,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
